"","siteid","estuaryname","stationno","samplecollectiondate","transectreplicate","plotreplicate","covertype","scientificname","commonname","status","estimatedcover","percentcovercode","daubenmiremidpoint","tallestplantheight_cm","percentcovernotes","habitat","live_dead","identificationnotes","unknownreplicate","projectid","method","objectid","region","estuaryclass","mpastatus","estuarytype"
"26","SC-ZUM","Zuma Lagoon",2,"2023-07-05",-88,-88,"vegetation","Ambrosia sp.","ragweed","Not recorded",-88,-88,-88,-88,"","site-wide","Live","",-88,"SMBRC-Prop50","obs_plant",35,"South","Lagoonal","NON-MPA","Temporarily Closed"
"27","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,2,"vegetation","Melilotus sp.","clover","non-native",45,4,37.5,63,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"28","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,1,"wrack","Not recorded","Not recorded","Not recorded",10,3,15,-88,"","Mid marsh","Not recorded","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"29","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,1,"vegetation","Salicornia pacifica","Pickleweed","native",20,3,15,28,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"30","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,1,"vegetation","Frankenia salina","alkali heath","native",5,2,3,17,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"31","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,1,"vegetation","Jaumea carnosa","fleshy jaumea","native",40,4,37.5,15,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"32","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,1,"vegetation","Distichlis spicata","salt grass","native",10,3,15,15,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"33","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,2,"vegetation","Salicornia pacifica","Pickleweed","native",60,5,62.5,75,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"34","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,2,"vegetation","Jaumea carnosa","fleshy jaumea","native",15,3,15,17,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"35","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,2,"wrack","Not recorded","Not recorded","Not recorded",5,2,3,-88,"","Mid marsh","Not recorded","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"36","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,3,"vegetation","Juncus acutus","spiny rush","native",75,5,62.5,94,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"37","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,3,"vegetation","Salicornia pacifica","Pickleweed","native",10,3,15,31,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"38","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,3,"vegetation","Distichlis spicata","salt grass","native",10,3,15,37,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"39","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,3,"vegetation","Jaumea carnosa","fleshy jaumea","native",25,3,15,11,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"40","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,3,"wrack","Not recorded","Not recorded","Not recorded",15,3,15,-88,"","Mid marsh","Not recorded","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"41","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,4,"vegetation","Salicornia pacifica","Pickleweed","native",55,5,62.5,95,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"42","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,4,"vegetation","Distichlis spicata","salt grass","native",5,2,3,29,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"43","SC-SEL","San Elijo Lagoon",1,"2023-11-22",2,5,"vegetation","Spartina foliosa","California cordgrass","native",2,2,3,74,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",29,"South","Riverine","MPA","Perennially Open"
"44","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,4,"vegetation","Frankenia salina","alkali heath","native",15,3,15,41,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"45","SC-TJES","Tijuana River Estuary South",3,"2023-10-25",2,3,"vegetation","Bromus madritensis","foxtail chess","non-native",1,1,0.5,-88,"SWMP_TRNERR_Brazo_Creek_Middle_SWMP_17","High marsh","Live","",-88,"Bight-Estuary-23","across_elevation",33,"South","Riverine","MPA","Temporarily Closed"
"46","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,4,"vegetation","Atriplex semibaccata","Australian saltbush","invasive",2,2,3,30,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"47","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,5,"wrack","Not recorded","Not recorded","Not recorded",40,4,37.5,-88,"","Mid marsh","Not recorded","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"48","SC-TJEN","Tijuana River Estuary North",1,"2023-03-20",4,8,"vegetation","Bromus madritensis","foxtail chess","non-native",40,4,37.5,43,"SWMP_TRNERR_McCoy_S_North_SWMP_6L","High marsh","Live","",-88,"Bight-Estuary-23","across_elevation",32,"South","Riverine","MPA","Temporarily Closed"
"49","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,5,"vegetation","Jaumea carnosa","fleshy jaumea","native",35,4,37.5,16,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"50","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,5,"vegetation","Distichlis spicata","salt grass","native",10,3,15,2,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"51","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,5,"vegetation","Typha latifolia","broad-leaved cattail","native",10,3,15,51,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"52","SC-TJEN","Tijuana River Estuary North",2,"2023-09-26",1,2,"vegetation","Bromus madritensis","foxtail chess","non-native",1,1,0.5,-88,"SWMP_TRNERR_V3_Middle_SWMP_100","High marsh","Dead","",-88,"Bight-Estuary-23","across_elevation",32,"South","Riverine","MPA","Temporarily Closed"
"53","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,3,"vegetation","Cuscuta sp.","common dodder","invasive",40,4,37.5,-88,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"54","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,1,"vegetation","Juncus acutus","spiny rush","native",70,5,62.5,95,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"55","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,1,"vegetation","Salicornia pacifica","Pickleweed","native",5,2,3,47,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"56","SC-SEL","San Elijo Lagoon",1,"2023-11-22",2,5,"vegetation","Salicornia pacifica","Pickleweed","native",45,4,37.5,59,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",29,"South","Riverine","MPA","Perennially Open"
"57","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,1,"vegetation","Distichlis spicata","salt grass","native",7,3,15,40,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"58","SC-MAL","Malibu Lagoon",2,"2023-04-16",1,5,"vegetation","Juncus balticus","Baltic rush","native",5,2,3,51,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"59","SC-LPL","Los Penasquitos Lagoon",2,"2023-11-08",1,4,"vegetation","Juncus balticus","Baltic rush","native",70,5,62.5,48,"SWMP_LPL_3_Middle_SWMP_110","High marsh","Live","",-88,"Bight-Estuary-23","across_elevation",25,"South","Riverine","NON-MPA","Temporarily Closed"
"60","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,1,"vegetation","Jaumea carnosa","fleshy jaumea","native",2,2,3,37,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"61","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,1,"vegetation","Frankenia salina","alkali heath","native",2,2,3,10,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"62","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,2,"vegetation","Arthrocnemum subterminale","Parish's glasswort","native",10,3,15,27,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"63","SC-LPL","Los Penasquitos Lagoon",2,"2023-03-28",3,5,"vegetation","Juncus balticus","Baltic rush","native",70,5,62.5,-88,"SWMP_LPL_3_South_SWMP_120","High marsh","Dead","",-88,"Bight-Estuary-23","across_elevation",25,"South","Riverine","NON-MPA","Temporarily Closed"
"64","SC-LPL","Los Penasquitos Lagoon",2,"2023-03-28",3,5,"vegetation","Juncus balticus","Baltic rush","native",5,2,3,18,"SWMP_LPL_3_South_SWMP_120","High marsh","Live","",-88,"Bight-Estuary-23","across_elevation",25,"South","Riverine","NON-MPA","Temporarily Closed"
"65","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,2,"vegetation","Jaumea carnosa","fleshy jaumea","native",18,3,15,19,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"66","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,2,"vegetation","Distichlis spicata","salt grass","native",10,3,15,20,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"67","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,2,"vegetation","Salicornia pacifica","Pickleweed","native",5,2,3,22,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"68","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,2,"vegetation","Isocoma menziesii","coastal goldenbush","native",7,3,15,30,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"69","SC-SEL","San Elijo Lagoon",1,"2023-11-22",2,5,"vegetation","Frankenia salina","alkali heath","native",80,6,85,35,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",29,"South","Riverine","MPA","Perennially Open"
"70","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,3,"vegetation","Distichlis spicata","salt grass","native",10,3,15,28,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"71","SC-SEL","San Elijo Lagoon",1,"2023-11-22",2,5,"wrack","Not recorded","Not recorded","Not recorded",0,0,0,-88,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",29,"South","Riverine","MPA","Perennially Open"
"72","SC-LPL","Los Penasquitos Lagoon",2,"2023-11-08",3,3,"vegetation","Juncus balticus","Baltic rush","native",1,1,0.5,-88,"SWMP_LPL_3_South_SWMP_100","High marsh","Live","",-88,"Bight-Estuary-23","across_elevation",25,"South","Riverine","NON-MPA","Temporarily Closed"
"73","SC-LPL","Los Penasquitos Lagoon",2,"2023-11-08",3,4,"vegetation","Juncus balticus","Baltic rush","native",1,1,0.5,55,"SWMP_LPL_3_South_SWMP_110","High marsh","Live","",-88,"Bight-Estuary-23","across_elevation",25,"South","Riverine","NON-MPA","Temporarily Closed"
"74","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,3,"vegetation","Jaumea carnosa","fleshy jaumea","native",2,2,3,12,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"75","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,3,"vegetation","Salicornia pacifica","Pickleweed","native",5,2,3,26,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"76","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,3,"vegetation","Frankenia salina","alkali heath","native",1,1,0.5,7,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"77","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,3,"wrack","Not recorded","Not recorded","Not recorded",15,3,15,-88,"","Mid marsh","Not recorded","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"78","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,4,"vegetation","Frankenia salina","alkali heath","native",1,1,0.5,23,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"79","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,4,"vegetation","Isocoma menziesii","coastal goldenbush","native",3,2,3,68,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"80","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,4,"vegetation","Distichlis spicata","salt grass","native",2,2,3,40,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"81","SC-SEL","San Elijo Lagoon",1,"2023-11-22",2,5,"trash","Not recorded","Not recorded","Not recorded",0,0,0,-88,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",29,"South","Riverine","MPA","Perennially Open"
"82","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,4,"vegetation","Salicornia pacifica","Pickleweed","native",1,1,0.5,7,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"83","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,4,"vegetation","Jaumea carnosa","fleshy jaumea","native",5,2,3,22,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"84","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,5,"vegetation","Juncus acutus","spiny rush","native",20,3,15,90,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"85","SC-SEL","San Elijo Lagoon",1,"2023-11-22",2,5,"woody debris","Not recorded","Not recorded","Not recorded",0,0,0,-88,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",29,"South","Riverine","MPA","Perennially Open"
"86","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,5,"vegetation","Jaumea carnosa","fleshy jaumea","native",35,4,37.5,22,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"87","SC-LPL","Los Penasquitos Lagoon",2,"2023-11-08",3,5,"vegetation","Juncus balticus","Baltic rush","native",65,5,62.5,47,"SWMP_LPL_3_South_SWMP_120","High marsh","Live","",-88,"Bight-Estuary-23","across_elevation",25,"South","Riverine","NON-MPA","Temporarily Closed"
"88","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,5,"vegetation","Frankenia salina","alkali heath","native",1,1,0.5,7,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"89","SC-MAL","Malibu Lagoon",3,"2023-04-16",1,5,"wrack","Not recorded","Not recorded","Not recorded",1,1,0.5,-88,"","Mid marsh","Dead","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"90","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,1,"vegetation","Schoenoplectus californicus","southern bulrush","native",60,5,62.5,22,"","Brackish marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"91","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,1,"vegetation","unknown plant","unknown plant","Not recorded",5,2,3,243,"","Brackish marsh","Live","photo, fleabane?",1,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"92","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,1,"vegetation","unknown plant","unknown plant","Not recorded",1,1,0.5,1,"","Brackish marsh","Live","photo, sp1",2,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"93","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,1,"vegetation","unknown plant","unknown plant","Not recorded",1,1,0.5,1,"","Brackish marsh","Live","photo, sp2",3,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"94","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,2,"vegetation","Schoenoplectus californicus","southern bulrush","native",25,3,15,190,"","Brackish marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"95","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,2,"wrack","Schoenoplectus californicus","southern bulrush","native",60,5,62.5,-88,"","Brackish marsh","Dead","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"96","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,2,"vegetation","unknown plant","unknown plant","Not recorded",1,1,0.5,3,"","Brackish marsh","Live","photo, sp1",2,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"97","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,2,"vegetation","Jaumea carnosa","fleshy jaumea","native",1,1,0.5,2,"","Brackish marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"98","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,2,"vegetation","Salicornia bigelovii","dwarf glasswort","native",1,1,0.5,8,"","Brackish marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"99","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,3,"vegetation","Jaumea carnosa","fleshy jaumea","native",10,3,15,11,"","Brackish marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"100","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,3,"vegetation","Salicornia bigelovii","dwarf glasswort","native",5,2,3,5,"","Brackish marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"101","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,3,"vegetation","unknown plant","unknown plant","Not recorded",1,1,0.5,0.5,"","Brackish marsh","Live","photo, sp1",2,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"102","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,4,"wrack","Schoenoplectus californicus","southern bulrush","native",60,5,62.5,-88,"","Brackish marsh","Dead","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"103","SC-MAL","Malibu Lagoon",3,"2023-04-16",2,4,"vegetation","Schoenoplectus californicus","southern bulrush","native",35,4,37.5,184,"","Brackish marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
