"","siteid","estuaryname","stationno","samplecollectiondate","tide","transectreplicate","habitat","datacollector","dataentryperson","samplemetadatanotes","projectid","elevation_time","elevation_ellipsoid","elevation_units","elevation_corr","datum_latlong","elevation_timezone","elevation_orthometric","elevation_datum","method","plotreplicate","vegetated_cover","non_vegetated_cover","latitude","longitude","objectid","region","estuaryclass","mpastatus","estuarytype"
"12","SC-MAL","Malibu Lagoon",1,"2023-04-16","open",1,"Mid marsh","Alyssa Taylor","Christine Whitcraft","only start and end of transect measured","SMBRC-Prop50","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",2,80,20,34.032371,-118.682738,6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"13","SC-MAL","Malibu Lagoon",1,"2023-04-16","open",1,"Mid marsh","Alyssa Taylor","Christine Whitcraft","only start and end of transect measured","SMBRC-Prop50","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",3,90,10,34.032372,-118.682681,6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"14","SC-MAL","Malibu Lagoon",1,"2023-04-16","open",1,"Mid marsh","Alyssa Taylor","Christine Whitcraft","only start and end of transect measured","SMBRC-Prop50","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",4,95,5,34.032376,-118.682623,6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"15","SC-MAL","Malibu Lagoon",1,"2023-04-16","open",1,"Mid marsh","Alyssa Taylor","Christine Whitcraft","only start and end of transect measured","SMBRC-Prop50","13:00:45",-33.943,"m","Yes","NAD83","PST",1.796,"NAVD83","within_elevation",5,100,0,34.03238051,-118.68257035,6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"16","SC-ASE","Arroyo Sequit",1,"2023-05-14","open",-88,"site-wide","Christine Whitcraft","Christine Whitcraft","","SMBRC-Prop50","Not recorded",NA,"","Not recorded","WGS84","",NA,"","obs_plant",-88,-88,-88,34.044482,-118.934309,19,"South","Lagoonal","NON-MPA","Temporarily Closed"
"17","SC-BSC","Big Sycamore Canyon",1,"2023-06-01","open",-88,"site-wide","Christine Whitcraft","Christine Whitcraft","","SMBRC-Prop50","Not recorded",NA,"","Not recorded","WGS84","",NA,"","obs_plant",-88,-88,-88,34.071625,-119.014671,20,"South","Lagoonal","NON-MPA","Temporarily Closed"
"18","SC-TOP","Topanga Lagoon",1,"2023-06-01","open",-88,"site-wide","Christine Whitcraft","Christine Whitcraft","","SMBRC-Prop50","Not recorded",NA,"","Not recorded","WGS84","",NA,"","obs_plant",-88,-88,-88,34.038747,-118.583178,34,"South","Lagoonal","NON-MPA","Temporarily Closed"
"19","SC-ZUM","Zuma Lagoon",1,"2023-07-05","open",-88,"site-wide","Christine Whitcraft","Christine Whitcraft","","SMBRC-Prop50","Not recorded",NA,"","Not recorded","WGS84","",NA,"","obs_plant",-88,-88,-88,34.014621,-118.82087,35,"South","Lagoonal","NON-MPA","Temporarily Closed"
"20","SC-ZUM","Zuma Lagoon",2,"2023-07-05","open",-88,"site-wide","Christine Whitcraft","Christine Whitcraft","","SMBRC-Prop50","Not recorded",NA,"","Not recorded","WGS84","",NA,"","obs_plant",-88,-88,-88,34.014262,-118.821001,35,"South","Lagoonal","NON-MPA","Temporarily Closed"
"21","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",1,"Low marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.174,"m","Yes","NAD83","",1.222,"NAVD88","across_elevation",6,75,25,33.64112388,-117.97430703,23,"South","Riverine","NON-MPA","Temporarily Closed"
"22","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",1,"Low marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.173,"m","Yes","NAD83","",1.224,"NAVD88","across_elevation",7,40,60,33.64108335,-117.97440328,23,"South","Riverine","NON-MPA","Temporarily Closed"
"23","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",1,"Low marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.102,"m","Yes","NAD83","",1.295,"NAVD88","across_elevation",8,80,20,33.64103932,-117.97449739,23,"South","Riverine","NON-MPA","Temporarily Closed"
"24","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",1,"Low marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.889,"m","Yes","NAD83","",1.508,"NAVD88","across_elevation",9,85,15,33.64099492,-117.97458977,23,"South","Riverine","NON-MPA","Temporarily Closed"
"25","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",1,"Mid marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.076,"m","Yes","NAD83","",1.321,"NAVD88","across_elevation",10,60,40,33.64094488,-117.97468058,23,"South","Riverine","NON-MPA","Temporarily Closed"
"26","SC-MAL","Malibu Lagoon",3,"2023-04-16","open",3,"High marsh","David Boehmer","Christine Whitcraft","only start and end of transect measured","SMBRC-Prop50","12:46:52",-33.812,"m","Yes","NAD83","PST",1.915,"NAVD83","within_elevation",1,75,25,34.03346246,-118.68470553,6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"27","SC-MAL","Malibu Lagoon",3,"2023-04-16","open",3,"High marsh","David Boehmer","Christine Whitcraft","only start and end of transect measured","SMBRC-Prop50","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",2,90,10,34.033455,-118.684761,6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"28","SC-MAL","Malibu Lagoon",3,"2023-04-16","open",3,"High marsh","David Boehmer","Christine Whitcraft","only start and end of transect measured","SMBRC-Prop50","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",3,100,0,34.03345,-118.68482,6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"29","SC-MAL","Malibu Lagoon",3,"2023-04-16","open",3,"High marsh","David Boehmer","Christine Whitcraft","only start and end of transect measured","SMBRC-Prop50","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",4,100,0,34.033448,-118.684878,6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"30","SC-MAL","Malibu Lagoon",3,"2023-04-16","open",3,"High marsh","Alyssa Taylor","Christine Whitcraft","only start and end of transect measured","SMBRC-Prop50","12:46:52",-33.877,"m","Yes","NAD83","PST",1.851,"NAVD83","within_elevation",5,95,5,34.03344182,-118.6849579,6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"31","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",1,"High marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-32.912,"m","Yes","NAD83","",2.485,"NAVD88","across_elevation",11,100,0,33.64089329,-117.97476528,23,"South","Riverine","NON-MPA","Temporarily Closed"
"32","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",2,"Low marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.086,"m","Yes","NAD83","",1.308,"NAVD88","across_elevation",12,75,25,33.64124386,-117.97356281,23,"South","Riverine","NON-MPA","Temporarily Closed"
"33","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",2,"Low marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.078,"m","Yes","NAD83","",1.316,"NAVD88","across_elevation",13,80,20,33.64119899,-117.97347011,23,"South","Riverine","NON-MPA","Temporarily Closed"
"34","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",2,"Mid marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.029,"m","Yes","NAD83","",1.365,"NAVD88","across_elevation",14,90,10,33.64115436,-117.97337637,23,"South","Riverine","NON-MPA","Temporarily Closed"
"35","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",2,"Low marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.038,"m","Yes","NAD83","",1.356,"NAVD88","across_elevation",15,85,15,33.6411134,-117.97328132,23,"South","Riverine","NON-MPA","Temporarily Closed"
"36","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",2,"Mid marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.836,"m","Yes","NAD83","",1.558,"NAVD88","across_elevation",16,90,10,33.64107642,-117.97318242,23,"South","Riverine","NON-MPA","Temporarily Closed"
"37","SC-AGH","Agua Hedionda",3,"2023-11-08","low",1,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.140322, -117.311355","PDT",-88,"-88","across_elevation",1,85,15,33.140322,-117.311355,18,"South","Lagoonal","NON-MPA","Perennially Open"
"38","SC-AGH","Agua Hedionda",3,"2023-11-08","low",1,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.140341, -117.311401","PDT",-88,"-88","across_elevation",2,95,5,33.140341,-117.311401,18,"South","Lagoonal","NON-MPA","Perennially Open"
"39","SC-AGH","Agua Hedionda",3,"2023-11-08","low",1,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.140374, -117.31144","PDT",-88,"-88","across_elevation",3,75,25,33.140374,-117.31144,18,"South","Lagoonal","NON-MPA","Perennially Open"
"40","SC-AGH","Agua Hedionda",3,"2023-11-08","low",1,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.140382, -117.311489","PDT",-88,"-88","across_elevation",4,30,70,33.140382,-117.311489,18,"South","Lagoonal","NON-MPA","Perennially Open"
"41","SC-AGH","Agua Hedionda",3,"2023-11-08","low",1,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.140398, -117.311538","PDT",-88,"-88","across_elevation",5,100,0,33.140398,-117.311538,18,"South","Lagoonal","NON-MPA","Perennially Open"
"42","SC-AGH","Agua Hedionda",3,"2023-11-08","low",1,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.140331, -117.311563","PDT",-88,"-88","across_elevation",6,98,2,33.140331,-117.311563,18,"South","Lagoonal","NON-MPA","Perennially Open"
"43","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.1,"m","Yes","NAD83","",1.28,"NAVD88","across_elevation",1,80,20,33.63840112,-117.96663043,23,"South","Riverine","NON-MPA","Temporarily Closed"
"44","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.061,"m","Yes","NAD83","",1.319,"NAVD88","across_elevation",2,50,50,33.63831799,-117.96661367,23,"South","Riverine","NON-MPA","Temporarily Closed"
"45","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.035,"m","Yes","NAD83","",1.346,"NAVD88","across_elevation",3,80,20,33.6382486,-117.96657285,23,"South","Riverine","NON-MPA","Temporarily Closed"
"46","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.961,"m","Yes","NAD83","",1.42,"NAVD88","across_elevation",4,60,40,33.6381706,-117.96652798,23,"South","Riverine","NON-MPA","Temporarily Closed"
"47","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.1,"m","Yes","NAD83","",1.281,"NAVD88","across_elevation",5,75,25,33.63808637,-117.96648414,23,"South","Riverine","NON-MPA","Temporarily Closed"
"48","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.015,"m","Yes","NAD83","",1.366,"NAVD88","across_elevation",6,85,15,33.63800611,-117.96643809,23,"South","Riverine","NON-MPA","Temporarily Closed"
"49","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.95,"m","Yes","NAD83","",1.431,"NAVD88","across_elevation",7,90,10,33.63792801,-117.96638362,23,"South","Riverine","NON-MPA","Temporarily Closed"
"50","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.008,"m","Yes","NAD83","",1.373,"NAVD88","across_elevation",8,90,10,33.6378503,-117.9663311,23,"South","Riverine","NON-MPA","Temporarily Closed"
"51","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.974,"m","Yes","NAD83","",1.406,"NAVD88","across_elevation",9,100,0,33.63777459,-117.9662751,23,"South","Riverine","NON-MPA","Temporarily Closed"
"52","NC-BOL","Bolinas Lagoon",3,"2023-10-12","high",2,"Low marsh","Rachael Karm, Shirah Strock","Rachael Karm, Shirah Strock","","EMPA","00:00:00",NA,"","Not recorded","WGS84","",NA,"","across_elevation",9,90,10,37.931067,-122.689573,3,"North","Embayment","NON-MPA","Perennially Open"
"53","SC-AGH","Agua Hedionda",3,"2023-11-08","low",2,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.140073, -117.311773","PDT",-88,"-88","across_elevation",2,76,24,33.140073,-117.311773,18,"South","Lagoonal","NON-MPA","Perennially Open"
"54","SC-AGH","Agua Hedionda",3,"2023-11-08","low",2,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.140098, -117.311797","PDT",-88,"-88","across_elevation",3,65,35,33.140098,-117.311797,18,"South","Lagoonal","NON-MPA","Perennially Open"
"55","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.015,"m","Yes","NAD83","",1.366,"NAVD88","across_elevation",10,85,15,33.63769684,-117.96621902,23,"South","Riverine","NON-MPA","Temporarily Closed"
"56","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.961,"m","Yes","NAD83","",1.419,"NAVD88","across_elevation",11,95,5,33.63761999,-117.96616345,23,"South","Riverine","NON-MPA","Temporarily Closed"
"57","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.808,"m","Yes","NAD83","",1.572,"NAVD88","across_elevation",12,100,0,33.63754745,-117.96610174,23,"South","Riverine","NON-MPA","Temporarily Closed"
"58","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.896,"m","Yes","NAD83","",1.484,"NAVD88","across_elevation",13,100,0,33.63746916,-117.96603703,23,"South","Riverine","NON-MPA","Temporarily Closed"
"59","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.979,"m","Yes","NAD83","",1.401,"NAVD88","across_elevation",14,75,25,33.63732361,-117.96588739,23,"South","Riverine","NON-MPA","Temporarily Closed"
"60","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Mid marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.899,"m","Yes","NAD83","",1.48,"NAVD88","across_elevation",15,80,20,33.6371514,-117.96572817,23,"South","Riverine","NON-MPA","Temporarily Closed"
"61","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"High marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.326,"m","Yes","NAD83","",2.053,"NAVD88","across_elevation",16,85,15,33.63709878,-117.9656244,23,"South","Riverine","NON-MPA","Temporarily Closed"
"62","SC-DEV","Devereaux Slough",1,"2023-11-02","closed",1,"Channel","LS, JB","JL","","Bight-Estuary-23","10:00:00",-33.211,"m","Yes","nad83","",2.788,"navd88","across_elevation",2,98,2,34.42028663,-119.87588406,22,"South","Lagoonal","NON-MPA","Temporarily Closed"
"63","SC-AGH","Agua Hedionda",2,"2023-11-08","low",1,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.141073, -117.317116","PDT",-88,"-88","across_elevation",4,55,45,33.141073,-117.317116,18,"South","Lagoonal","NON-MPA","Perennially Open"
"64","SC-AGH","Agua Hedionda",2,"2023-11-08","low",1,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.14112, -117.317107","PDT",-88,"-88","across_elevation",5,85,15,33.14112,-117.317107,18,"South","Lagoonal","NON-MPA","Perennially Open"
"65","SC-AGH","Agua Hedionda",2,"2023-11-08","low",1,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.141156, -117.317105","PDT",-88,"-88","across_elevation",6,75,25,33.141156,-117.317105,18,"South","Lagoonal","NON-MPA","Perennially Open"
"66","SC-AGH","Agua Hedionda",2,"2023-11-08","low",2,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.141228, -117.316331","PDT",-88,"-88","across_elevation",4,98,2,33.141228,-117.316331,18,"South","Lagoonal","NON-MPA","Perennially Open"
"67","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Low marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.951,"m","Yes","NAD83","",1.428,"NAVD88","across_elevation",17,60,40,33.63714122,-117.9654142,23,"South","Riverine","NON-MPA","Temporarily Closed"
"68","SC-HBW","Huntington Beach Wetlands",2,"2023-10-19","mid",1,"Low marsh","Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.946,"m","Yes","NAD83","",1.433,"NAVD88","across_elevation",18,60,40,33.63719509,-117.9653493,23,"South","Riverine","NON-MPA","Temporarily Closed"
"69","SC-HBW","Huntington Beach Wetlands",1,"2023-10-19","low",1,"Low marsh","Daniella Gavriel","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.786,"m","Yes","NAD83","",1.586,"NAVD88","across_elevation",1,5,95,33.63388505,-117.96120972,23,"South","Riverine","NON-MPA","Temporarily Closed"
"70","SC-HBW","Huntington Beach Wetlands",1,"2023-10-19","low",1,"Mid marsh","Daniella Gavriel","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.466,"m","Yes","NAD83","",1.905,"NAVD88","across_elevation",2,70,30,33.63393641,-117.96129372,23,"South","Riverine","NON-MPA","Temporarily Closed"
"71","SC-HBW","Huntington Beach Wetlands",1,"2023-10-19","low",1,"Mid marsh","Daniella Gavriel","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.772,"m","Yes","NAD83","",1.6,"NAVD88","across_elevation",3,85,15,33.63398917,-117.96138132,23,"South","Riverine","NON-MPA","Temporarily Closed"
"72","SC-HBW","Huntington Beach Wetlands",1,"2023-10-19","low",1,"Mid marsh","Daniella Gavriel","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.766,"m","Yes","NAD83","",1.606,"NAVD88","across_elevation",4,98,2,33.63404175,-117.96146815,23,"South","Riverine","NON-MPA","Temporarily Closed"
"73","SC-HBW","Huntington Beach Wetlands",1,"2023-10-19","low",1,"Mid marsh","Daniella Gavriel","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.683,"m","Yes","NAD83","",1.689,"NAVD88","across_elevation",5,90,10,33.63409479,-117.96155541,23,"South","Riverine","NON-MPA","Temporarily Closed"
"74","SC-HBW","Huntington Beach Wetlands",1,"2023-10-19","low",1,"Mid marsh","Daniella Gavriel","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.66,"m","Yes","NAD83","",1.712,"NAVD88","across_elevation",6,100,0,33.63414814,-117.96164209,23,"South","Riverine","NON-MPA","Temporarily Closed"
"75","SC-HBW","Huntington Beach Wetlands",1,"2023-10-26","high",1,"Mid marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.762,"m","Yes","NAD83","",1.61,"NAVD88","across_elevation",7,85,15,33.63420511,-117.96172523,23,"South","Riverine","NON-MPA","Temporarily Closed"
"76","SC-HBW","Huntington Beach Wetlands",1,"2023-10-26","high",1,"Mid marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.782,"m","Yes","NAD83","",1.591,"NAVD88","across_elevation",8,65,35,33.63426236,-117.96180933,23,"South","Riverine","NON-MPA","Temporarily Closed"
"77","NC-BOL","Bolinas Lagoon",3,"2023-10-12","high",2,"Low marsh","Rachael Karm, Shirah Strock","Rachael Karm, Shirah Strock","","EMPA","00:00:00",NA,"","Not recorded","WGS84","",NA,"","across_elevation",10,95,5,37.93109,-122.689545,3,"North","Embayment","NON-MPA","Perennially Open"
"78","SC-AGH","Agua Hedionda",2,"2023-11-08","low",3,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.14149, -117.315899","PDT",-88,"-88","across_elevation",4,98,2,33.14149,-117.315899,18,"South","Lagoonal","NON-MPA","Perennially Open"
"79","SC-HBW","Huntington Beach Wetlands",1,"2023-10-26","high",1,"Mid marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.821,"m","Yes","NAD83","",1.551,"NAVD88","across_elevation",9,75,25,33.63431898,-117.96189282,23,"South","Riverine","NON-MPA","Temporarily Closed"
"80","SC-SEL","San Elijo Lagoon",1,"2023-11-22","low",2,"Low marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.010090, -117.27793","PDT",-88,"-88","across_elevation",5,100,0,33.01009,-117.27793,29,"South","Riverine","MPA","Perennially Open"
"81","SC-HBW","Huntington Beach Wetlands",1,"2023-10-26","high",1,"Mid marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.762,"m","Yes","NAD83","",1.611,"NAVD88","across_elevation",10,95,5,33.63437341,-117.96197628,23,"South","Riverine","NON-MPA","Temporarily Closed"
"82","SC-HBW","Huntington Beach Wetlands",1,"2023-10-19","low",2,"Low marsh","Jan Walker, Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.101,"m","Yes","NAD83","",1.271,"NAVD88","across_elevation",1,50,50,33.6346679,-117.96150366,23,"South","Riverine","NON-MPA","Temporarily Closed"
"83","SC-HBW","Huntington Beach Wetlands",1,"2023-10-19","low",2,"Low marsh","Jan Walker, Christine Whitcraft","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-33.997,"m","Yes","NAD83","",1.374,"NAVD88","across_elevation",2,30,70,33.63470545,-117.96153414,23,"South","Riverine","NON-MPA","Temporarily Closed"
