siteid,estuaryname,Region,landcover,rastercount,percent,buffer
NC-TEN,Ten Mile River,North,Developed,179,39,30 m
NC-TEN,Ten Mile River,North,Ag,15,3,30 m
NC-BIGR,Big River,North,Natural,546,76,30 m
NC-BIGR,Big River,North,Developed,170,24,30 m
NC-BIGR,Big River,North,Ag,0,0,30 m
NC-NAV,Navarro River,North,Natural,277,51,30 m
NC-NAV,Navarro River,North,Developed,268,49,30 m
NC-NAV,Navarro River,North,Ag,0,0,30 m
NC-DRA,Drakes Estero,North,Natural,1917,96,30 m
NC-DRA,Drakes Estero,North,Developed,75,4,30 m
NC-DRA,Drakes Estero,North,Ag,13,1,30 m
NC-BOL,Bolinas Lagoon,North,Natural,161,24,30 m
NC-BOL,Bolinas Lagoon,North,Developed,507,76,30 m
NC-BOL,Bolinas Lagoon,North,Ag,0,0,30 m
CC-PAJ,Pajaro,Central,Natural,979,54,30 m
CC-PAJ,Pajaro,Central,Developed,296,16,30 m
CC-PAJ,Pajaro,Central,Ag,525,29,30 m
CC-MCS,Moro Cojo,Central,Natural,700,57,30 m
CC-MCS,Moro Cojo,Central,Developed,262,21,30 m
CC-MCS,Moro Cojo,Central,Ag,276,22,30 m
CC-CAR,Carmel,Central,Natural,113,43,30 m
CC-CAR,Carmel,Central,Developed,148,57,30 m
CC-CAR,Carmel,Central,Ag,0,0,30 m
CC-ADLC,Arroyo de la Cruz,Central,Natural,84,97,30 m
CC-ADLC,Arroyo de la Cruz,Central,Developed,3,3,30 m
CC-ADLC,Arroyo de la Cruz,Central,Ag,0,0,30 m
CC-MOR,Morro Bay,Central,Natural,679,59,30 m
CC-MOR,Morro Bay,Central,Developed,471,41,30 m
CC-MOR,Morro Bay,Central,Ag,1,0,30 m
SC-GOL,Goleta Slough,South,Natural,230,31,30 m
SC-GOL,Goleta Slough,South,Developed,494,66,30 m
SC-GOL,Goleta Slough,South,Ag,19,3,30 m
SC-VEN,Ventura River,South,Natural,26,34,30 m
SC-VEN,Ventura River,South,Developed,50,65,30 m
SC-VEN,Ventura River,South,Ag,1,1,30 m
SC-MAL,Malibu Lagoon,South,Natural,18,17,30 m
SC-MAL,Malibu Lagoon,South,Developed,88,81,30 m
SC-MAL,Malibu Lagoon,South,Ag,3,3,30 m
SC-NEW,Newport Bay,South,Natural,410,18,30 m
SC-NEW,Newport Bay,South,Developed,1823,82,30 m
SC-NEW,Newport Bay,South,Ag,0,0,30 m
SC-BAT,Batiquitos Lagoon,South,Natural,75,12,30 m
SC-BAT,Batiquitos Lagoon,South,Developed,567,88,30 m
SC-BAT,Batiquitos Lagoon,South,Ag,0,0,30 m
SC-BOL,Bolsa Chica,South,Natural,131,18,30 m
SC-BOL,Bolsa Chica,South,Developed,608,82,30 m
SC-BOL,Bolsa Chica,South,Ag,1,0,30 m
NC-TEN,Ten Mile River,North,Total Buffer,460,23,Contiguous Buffer
NC-TEN,Ten Mile River,North,Total Open,281,37,Contiguous Buffer
NC-TEN,Ten Mile River,North,Largest Contiguous,105,NA,Contiguous Buffer
NC-BIGR,Big River,North,Total Buffer,730,51,Contiguous Buffer
NC-BIGR,Big River,North,Total Open,564,66,Contiguous Buffer
NC-BIGR,Big River,North,Largest Contiguous,373,NA,Contiguous Buffer
NC-NAV,Navarro River,North,Total Buffer,545,17,Contiguous Buffer
NC-NAV,Navarro River,North,Total Open,277,33,Contiguous Buffer
NC-NAV,Navarro River,North,Largest Contiguous,92,NA,Contiguous Buffer
NC-DRA,Drakes Estero,North,Total Buffer,2005,47,Contiguous Buffer
NC-DRA,Drakes Estero,North,Total Open,1930,49,Contiguous Buffer
NC-DRA,Drakes Estero,North,Largest Contiguous,944,NA,Contiguous Buffer
NC-BOL,Bolinas Lagoon,North,Total Buffer,NA,NA,Contiguous Buffer
NC-BOL,Bolinas Lagoon,North,Total Open,NA,NA,Contiguous Buffer
NC-BOL,Bolinas Lagoon,North,Largest Contiguous,NA,NA,Contiguous Buffer
CC-PAJ,Pajaro,Central,Total Buffer,1800,19,Contiguous Buffer
CC-PAJ,Pajaro,Central,Total Open,1504,23,Contiguous Buffer
CC-PAJ,Pajaro,Central,Largest Contiguous,341,NA,Contiguous Buffer
CC-MCS,Moro Cojo,Central,Total Buffer,1238,16,Contiguous Buffer
CC-MCS,Moro Cojo,Central,Total Open,976,20,Contiguous Buffer
CC-MCS,Moro Cojo,Central,Largest Contiguous,199,NA,Contiguous Buffer
CC-CAR,Carmel,Central,Total Buffer,261,21,Contiguous Buffer
CC-CAR,Carmel,Central,Total Open,113,50,Contiguous Buffer
CC-CAR,Carmel,Central,Largest Contiguous,56,NA,Contiguous Buffer
CC-ADLC,Arroyo de la Cruz,Central,Total Buffer,87,75,Contiguous Buffer
CC-ADLC,Arroyo de la Cruz,Central,Total Open,84,77,Contiguous Buffer
CC-ADLC,Arroyo de la Cruz,Central,Largest Contiguous,65,NA,Contiguous Buffer
CC-MOR,Morro Bay,Central,Total Buffer,1151,40,Contiguous Buffer
CC-MOR,Morro Bay,Central,Total Open,680,68,Contiguous Buffer
CC-MOR,Morro Bay,Central,Largest Contiguous,459,NA,Contiguous Buffer
SC-GOL,Goleta Slough,South,Total Buffer,NA,NA,Contiguous Buffer
SC-GOL,Goleta Slough,South,Total Open,NA,NA,Contiguous Buffer
SC-GOL,Goleta Slough,South,Largest Contiguous,NA,NA,Contiguous Buffer
SC-VEN,Ventura River,South,Total Buffer,NA,NA,Contiguous Buffer
SC-VEN,Ventura River,South,Total Open,NA,NA,Contiguous Buffer
SC-VEN,Ventura River,South,Largest Contiguous,NA,NA,Contiguous Buffer
SC-MAL,Malibu Lagoon,South,Total Buffer,NA,NA,Contiguous Buffer
SC-MAL,Malibu Lagoon,South,Total Open,NA,NA,Contiguous Buffer
SC-MAL,Malibu Lagoon,South,Largest Contiguous,NA,NA,Contiguous Buffer
SC-NEW,Newport Bay,South,Total Buffer,NA,NA,Contiguous Buffer
SC-NEW,Newport Bay,South,Total Open,NA,NA,Contiguous Buffer
SC-NEW,Newport Bay,South,Largest Contiguous,NA,NA,Contiguous Buffer
SC-BAT,Batiquitos Lagoon,South,Total Buffer,NA,NA,Contiguous Buffer
SC-BAT,Batiquitos Lagoon,South,Total Open,NA,NA,Contiguous Buffer
SC-BAT,Batiquitos Lagoon,South,Largest Contiguous,NA,NA,Contiguous Buffer
SC-BOL,Bolsa Chica,South,Total Buffer,NA,NA,Contiguous Buffer
SC-BOL,Bolsa Chica,South,Total Open,NA,NA,Contiguous Buffer
SC-BOL,Bolsa Chica,South,Largest Contiguous,NA,NA,Contiguous Buffer
